,LIFNR,MAT1,MAT2,MAT3,SP_KUNNR,MATNR
0,605000000000.00,639660149.00,9542DSBL500,78731883230.00,101485,9542DL500B8
1,162920.00,709469.00,56650/01,7331056650.00,104254,56650/01
